release_year,title,country,date_added,duration,listed_in,type
1923,1,0,1,1,1,1
1933,1,1,1,1,1,1
1950,3,3,3,1,3,3
1951,2,1,2,2,2,2
1953,4,3,4,2,4,4
1954,1,1,1,0,1,1
1955,2,1,2,1,2,2
1957,4,3,4,2,4,4
1958,2,1,2,1,2,2
1959,2,2,1,2,2,2
1960,1,1,1,1,1,1
1961,1,1,1,1,1,1
1962,3,2,3,3,3,3
1963,4,3,4,4,4,4
1964,2,2,2,2,2,2
1965,5,3,5,4,5,5
1966,2,2,1,2,2,2
1967,2,1,2,2,2,2
1968,1,0,1,1,1,1
1969,2,2,2,2,2,2
1970,3,2,3,2,3,3
1971,2,2,2,2,2,2
1972,6,5,6,6,6,6
1973,3,1,3,3,3,3
1974,3,2,3,3,3,3
1975,3,2,3,2,3,3
1976,1,1,1,1,1,1
1977,1,1,1,1,1,1
1978,2,1,2,2,2,2
1979,5,2,5,4,5,5
1980,2,1,2,2,2,2
1981,4,4,4,4,4,4
1982,6,5,6,5,6,6
1983,4,2,4,4,4,4
1984,7,4,7,7,7,7
1985,7,4,7,7,7,7
1986,6,3,6,6,6,6
1987,5,2,5,5,5,5
1988,8,6,8,8,8,8
1989,10,10,9,10,10,10
1990,9,5,9,9,9,9
1991,7,5,7,7,7,7
1992,7,7,7,5,7,7
1993,16,8,15,13,16,16
1994,14,6,14,12,14,14
1995,15,8,14,15,15,15
1996,14,10,12,13,14,14
1997,21,12,19,20,21,21
1998,23,13,23,21,23,23
1999,25,16,23,22,25,25
2000,23,12,23,21,23,23
2001,28,18,26,27,28,28
2002,25,11,24,23,25,25
2003,31,15,30,30,31,31
2004,37,19,37,36,37,37
2005,42,29,40,40,42,42
2006,57,35,57,55,57,57
2007,47,30,46,47,47,47
2008,46,33,46,43,46,46
2009,78,56,73,69,78,78
2010,73,51,73,71,73,73
2011,86,54,85,81,86,86
2012,119,72,118,114,119,119
2013,126,77,126,113,126,126
2014,129,83,127,113,129,129
2015,163,109,162,141,163,163
2016,165,106,165,141,165,165
2017,229,123,229,184,229,229
2018,270,155,270,221,270,270
2019,412,209,412,318,412,412
2020,377,125,377,284,377,377
2021,226,15,226,166,226,226
